name,salary,year
Carmelo Anthony,"$24,559,380",2017
Chris Bosh,"$23,741,060",2017
Dwight Howard,"$23,180,275",2017
Bradley Beal,"$22,116,750",2017
Harrison Barnes,"$22,116,750",2017
Andre Drummond,"$22,116,750",2017
Derrick Rose,"$21,323,252",2017
Brook Lopez,"$21,165,675",2017
Kevin Love,"$21,165,675",2017
LaMarcus Aldridge,"$20,575,005",2017
Paul Millsap,"$20,072,033",2017
Allen Crabbe,"$18,500,000",2017
Luol Deng,"$18,000,000",2017
Kawhi Leonard,"$17,638,063",2017
Tobias Harris,"$17,200,000",2017
Wesley Matthews,"$17,145,838",2017
Mike Conley,"$26,540,100",2017
Kevin Durant,"$26,540,100",2017
DeMar DeRozan,"$26,540,100",2017
Dirk Nowitzki,"$25,000,000",2017
Damian Lillard,"$24,328,425",2017
Dwyane Wade,"$23,200,000",2017
Chris Paul,"$22,868,827",2017
Hassan Whiteside,"$22,116,750",2017
Anthony Davis,"$22,116,750",2017
Chandler Parsons,"$22,116,750",2017
Marc Gasol,"$21,165,675",2017
DeAndre Jordan,"$21,165,675",2017
Nicolas Batum,"$20,869,566",2017
Blake Griffin,"$20,140,839",2017
Ryan Anderson,"$18,735,364",2017
Paul George,"$18,314,532",2017
Kyrie Irving,"$17,638,063",2017
Jimmy Butler,"$17,552,209",2017
Greg Monroe,"$17,145,838",2017
Enes Freedom,"$17,145,838",2017
Stephen Curry,"$43,006,362",2021
Russell Westbrook,"$41,358,814",2021
John Wall,"$41,254,920",2021
LeBron James,"$39,219,565",2021
Klay Thompson,"$35,361,360",2021
Jimmy Butler,"$34,379,100",2021
Kemba Walker,"$34,379,100",2021
Khris Middleton,"$33,051,724",2021
Kyrie Irving,"$31,742,000",2021
Kevin Love,"$31,258,256",2021
Ben Simmons,"$30,559,200",2021
Steven Adams,"$29,592,696",2021
Andrew Wiggins,"$29,542,010",2021
Kristaps Porzingis,"$29,467,800",2021
Karl-Anthony Towns,"$29,467,800",2021
Bradley Beal,"$28,751,775",2021
Gordon Hayward,"$28,500,000",2021
DeMar DeRozan,"$27,739,975",2021
Rudy Gobert,"$27,525,281",2021
Jamal Murray,"$27,285,000",2021
Chris Paul,"$41,358,814",2021
James Harden,"$41,254,920",2021
Kevin Durant,"$40,108,950",2021
Paul George,"$35,450,412",2021
Mike Conley,"$34,502,130",2021
Kawhi Leonard,"$34,379,100",2021
Tobias Harris,"$34,358,850",2021
Anthony Davis,"$32,742,000",2021
Damian Lillard,"$31,626,953",2021
Pascal Siakam,"$30,559,200",2021
Kyle Lowry,"$30,500,000",2021
Joel Embiid,"$29,542,010",2021
Nikola Jokic,"$29,542,010",2021
Devin Booker,"$29,467,800",2021
CJ McCollum,"$29,354,152",2021
D'Angelo Russell,"$28,649,250",2021
Otto Porter Jr.,"$28,489,237",2021
Giannis Antetokounmpo,"$27,528,090",2021
Al Horford,"$27,500,000",2021
Brandon Ingram,"$27,285,000",2021
Stephen Curry,"$37,457,154",2018
Paul Millsap,"$31,269,231",2018
Gordon Hayward,"$29,727,900",2018
Russell Westbrook,"$28,530,608",2018
DeMar DeRozan,"$27,739,975",2018
Carmelo Anthony,"$26,243,760",2018
Otto Porter Jr.,"$26,011,913",2018
Bradley Beal,"$25,434,263",2018
Hassan Whiteside,"$25,434,262",2018
Chris Paul,"$24,599,495",2018
Kevin Love,"$24,119,025",2018
CJ McCollum,"$23,962,573",2018
Anthony Davis,"$23,775,506",2018
Chandler Parsons,"$23,112,004",2018
Marc Gasol,"$22,642,350",2018
Steven Adams,"$22,471,910",2018
Serge Ibaka,"$21,666,667",2018
Victor Oladipo,"$21,000,000",2018
Ryan Anderson,"$19,578,455",2018
Jimmy Butler,"$19,301,070",2018
Blake Griffin,"$32,088,932",2018
Kyle Lowry,"$31,200,000",2018
Mike Conley,"$28,530,608",2018
James Harden,"$28,299,399",2018
Al Horford,"$27,734,406",2018
Damian Lillard,"$26,153,057",2018
Jrue Holiday,"$25,686,667",2018
Andre Drummond,"$25,434,263",2018
Joel Embiid,"$25,250,000",2018
Giannis Antetokounmpo,"$24,157,303",2018
Nicolas Batum,"$24,000,000",2018
Dwight Howard,"$23,819,725",2018
Harrison Barnes,"$23,112,004",2018
Brook Lopez,"$22,642,650",2018
DeAndre Jordan,"$22,642,350",2018
Rudy Gobert,"$21,924,719",2018
LaMarcus Aldridge,"$21,461,010",2018
Danilo Gallinari,"$20,559,599",2018
Paul George,"$19,508,958",2018
Tyler Johnson,"$19,245,370",2018
Kobe Bryant,"$23,500,000",2015
Carmelo Anthony,"$22,458,401",2015
Chris Bosh,"$20,644,400",2015
Chris Paul,"$20,068,563",2015
Rudy Gay,"$19,317,326",2015
Derrick Rose,"$18,862,876",2015
Zach Randolph,"$16,500,000",2015
Paul George,"$15,937,290",2015
Kevin Love,"$15,719,063",2015
Russell Westbrook,"$15,719,062",2015
Dwyane Wade,"$15,000,000",2015
Roy Hibbert,"$14,898,938",2015
Gordon Hayward,"$14,746,000",2015
DeMarcus Cousins,"$14,746,000",2015
Chandler Parsons,"$14,700,000",2015
Eric Bledsoe,"$13,000,000",2015
Andrew Bogut,"$12,972,973",2015
Rajon Rondo,"$12,909,090",2015
Tony Parker,"$12,500,000",2015
Andre Iguodala,"$12,289,544",2015
Joe Johnson,"$23,180,790",2015
Dwight Howard,"$21,436,271",2015
LeBron James,"$20,644,400",2015
Deron Williams,"$19,754,465",2015
Kevin Durant,"$18,995,624",2015
Blake Griffin,"$17,674,613",2015
LaMarcus Aldridge,"$16,006,000",2015
Marc Gasol,"$15,829,688",2015
Brook Lopez,"$15,719,062",2015
David Lee,"$15,012,000",2015
Eric Gordon,"$14,898,938",2015
Tyson Chandler,"$14,846,888",2015
John Wall,"$14,746,000",2015
James Harden,"$14,728,844",2015
Al Jefferson,"$13,500,000",2015
Nene Hilario,"$13,000,000",2015
Derrick Favors,"$12,950,000",2015
Joakim Noah,"$12,700,000",2015
Serge Ibaka,"$12,350,000",2015
Nikola Pekovic,"$12,100,000",2015
Kobe Bryant,"$30,453,805",2014
Amar'e Stoudemire,"$21,679,893",2014
Carmelo Anthony,"$21,388,953",2014
Pau Gasol,"$19,285,850",2014
LeBron James,"$19,067,500",2014
Chris Paul,"$18,668,431",2014
Zach Randolph,"$18,238,333",2014
Kevin Durant,"$17,832,627",2014
Blake Griffin,"$16,441,500",2014
Carlos Boozer,"$15,300,000",2014
Marc Gasol,"$14,860,523",2014
Russell Westbrook,"$14,693,906",2014
Emeka Okafor,"$14,487,500",2014
Roy Hibbert,"$14,283,844",2014
Tyson Chandler,"$14,100,538",2014
David Lee,"$13,878,000",2014
Al Jefferson,"$13,500,000",2014
Nene Hilario,"$13,000,000",2014
Tony Parker,"$12,500,000",2014
Serge Ibaka,"$12,350,000",2014
Dirk Nowitzki,"$22,721,381",2014
Joe Johnson,"$21,466,718",2014
Dwight Howard,"$20,513,178",2014
Chris Bosh,"$19,067,500",2014
Dwyane Wade,"$18,673,000",2014
Deron Williams,"$18,466,130",2014
Rudy Gay,"$17,888,932",2014
Derrick Rose,"$17,632,688",2014
Paul Pierce,"$15,333,334",2014
LaMarcus Aldridge,"$14,878,000",2014
Brook Lopez,"$14,693,906",2014
Kevin Love,"$14,693,906",2014
Eric Gordon,"$14,283,844",2014
Luol Deng,"$14,275,000",2014
Andrew Bogut,"$14,000,000",2014
James Harden,"$13,701,250",2014
Josh Smith,"$13,500,000",2014
Andre Iguodala,"$12,868,632",2014
Kevin Garnett,"$12,433,735",2014
Nikola Pekovic,"$12,100,000",2014
Jaylen Brown,"$26,758,928",2022
Draymond Green,"$24,026,712",2022
John Collins,"$23,000,000",2022
Julius Randle,"$21,780,000",2022
Tim Hardaway Jr.,"$21,308,816",2022
Gary Harris,"$20,482,143",2022
Harrison Barnes,"$20,284,091",2022
Jarrett Allen,"$20,000,000",2022
Fred VanVleet,"$19,675,926",2022
Bojan Bogdanovic,"$18,700,000",2022
Clint Capela,"$18,603,448",2022
Eric Bledsoe,"$18,125,000",2022
Bogdan Bogdanovic,"$18,000,000",2022
Ricky Rubio,"$17,800,000",2022
Jonathan Isaac,"$17,400,000",2022
Spencer Dinwiddie,"$17,142,857",2022
Evan Fournier,"$17,000,000",2022
Aaron Gordon,"$16,409,091",2022
Gary Trent Jr.,"$16,000,000",2022
Lauri Markkanen,"$15,690,909",2022
DeMar DeRozan,"$26,000,000",2022
Nikola Vucevic,"$24,000,000",2022
Buddy Hield,"$22,768,890",2022
Malcolm Brogdon,"$21,700,000",2022
Mike Conley,"$21,000,000",2022
Danilo Gallinari,"$20,475,000",2022
Jerami Grant,"$20,002,500",2022
Domantas Sabonis,"$19,800,000",2022
Zach LaVine,"$19,500,000",2022
Lonzo Ball,"$18,604,651",2022
Eric Gordon,"$18,218,818",2022
Myles Turner,"$18,000,000",2022
Terry Rozier,"$17,905,263",2022
Caris LeVert,"$17,500,000",2022
Joe Harris,"$17,357,143",2022
Steven Adams,"$17,073,171",2022
Markelle Fultz,"$16,500,000",2022
O.G. Anunoby,"$16,071,429",2022
Davis Bertans,"$16,000,000",2022
Duncan Robinson,"$15,650,000",2022
Jrue Holiday,"$26,231,111",2021
Chandler Parsons,"$25,102,511",2021
LaMarcus Aldridge,"$24,000,000",2021
Draymond Green,"$22,246,956",2021
Fred VanVleet,"$21,250,000",2021
Malcolm Brogdon,"$20,700,000",2021
Gary Harris,"$19,610,714",2021
Danilo Gallinari,"$19,500,000",2021
Tim Hardaway Jr.,"$18,975,000",2021
Julius Randle,"$18,900,000",2021
Aaron Gordon,"$18,136,364",2021
Goran Dragic,"$18,000,000",2021
Bojan Bogdanovic,"$17,850,000",2021
Ricky Rubio,"$17,000,000",2021
Eric Gordon,"$16,869,276",2021
Caris LeVert,"$16,203,704",2021
James Johnson,"$16,047,100",2021
Clint Capela,"$16,000,000",2021
Danny Green,"$15,365,853",2021
Davis Bertans,"$15,000,000",2021
Nikola Vucevic,"$26,000,000",2021
Buddy Hield,"$24,701,834",2021
Jaylen Brown,"$23,735,118",2021
Harrison Barnes,"$22,215,909",2021
Victor Oladipo,"$21,000,000",2021
Domantas Sabonis,"$19,800,000",2021
Zach LaVine,"$19,500,000",2021
Jerami Grant,"$19,050,000",2021
Terry Rozier,"$18,900,000",2021
Allen Crabbe,"$18,500,000",2021
Myles Turner,"$18,000,000",2021
Bogdan Bogdanovic,"$18,000,000",2021
Evan Fournier,"$17,150,000",2021
Eric Bledsoe,"$16,875,000",2021
Timofey Mozgov,"$16,720,000",2021
Joe Harris,"$16,071,429",2021
Dennis Schroder,"$16,000,000",2021
Cody Zeller,"$15,415,730",2021
Andre Iguodala,"$15,000,000",2021
Jonas Valanciunas,"$15,000,000",2021
Kris Humphries,"$12,000,000",2014
Al Horford,"$12,000,000",2014
Andrea Bargnani,"$11,862,500",2014
Nicolas Batum,"$11,295,250",2014
Richard Jefferson,"$11,046,000",2014
Ty Lawson,"$10,786,517",2014
Tim Duncan,"$10,361,446",2014
Gerald Wallace,"$10,105,855",2014
Stephen Curry,"$9,887,642",2014
Paul Millsap,"$9,500,000",2014
Shawn Marion,"$9,316,796",2014
Anderson Varejao,"$9,036,364",2014
Kendrick Perkins,"$8,727,437",2014
Mike Conley,"$8,600,001",2014
Rodney Stuckey,"$8,500,000",2014
Omer Asik,"$8,374,646",2014
Marcus Thornton,"$8,050,000",2014
O.J. Mayo,"$8,000,000",2014
Monta Ellis,"$8,000,000",2014
Trevor Ariza,"$7,727,280",2014
David West,"$12,000,000",2014
Rajon Rondo,"$11,954,545",2014
Tyreke Evans,"$11,796,247",2014
Joakim Noah,"$11,100,000",2014
DeAndre Jordan,"$10,986,550",2014
JaVale McGee,"$10,750,000",2014
Danilo Gallinari,"$10,146,925",2014
Tiago Splitter,"$10,000,000",2014
Jrue Holiday,"$9,713,484",2014
DeMar DeRozan,"$9,500,000",2014
Steve Nash,"$9,300,500",2014
Thaddeus Young,"$8,850,000",2014
Jeff Green,"$8,700,000",2014
Charlie Villanueva,"$8,580,000",2014
Jeremy Lin,"$8,374,646",2014
Ryan Anderson,"$8,308,500",2014
Jeff Teague,"$8,000,000",2014
George Hill,"$8,000,000",2014
Ersan Ilyasova,"$7,900,000",2014
Marcin Gortat,"$7,727,280",2014
Kevin Garnett,"$12,000,000",2015
David West,"$12,000,000",2015
Nicolas Batum,"$11,765,500",2015
Andrea Bargnani,"$11,500,000",2015
Tyreke Evans,"$11,265,416",2015
Larry Sanders,"$11,000,000",2015
Stephen Curry,"$10,629,213",2015
Tim Duncan,"$10,361,446",2015
DeMar DeRozan,"$10,100,000",2015
Luol Deng,"$9,714,461",2015
Steve Nash,"$9,701,000",2015
Thaddeus Young,"$9,410,869",2015
Jeff Green,"$9,200,000",2015
Lance Stephenson,"$9,000,000",2015
Trevor Ariza,"$8,579,089",2015
Marcus Thornton,"$8,575,000",2015
Jeremy Lin,"$8,374,646",2015
Monta Ellis,"$8,360,000",2015
Jeff Teague,"$8,000,000",2015
O.J. Mayo,"$8,000,000",2015
Kyle Lowry,"$12,000,000",2015
Al Horford,"$12,000,000",2015
Ty Lawson,"$11,595,506",2015
DeAndre Jordan,"$11,440,123",2015
JaVale McGee,"$11,250,000",2015
Danilo Gallinari,"$10,854,850",2015
Marcin Gortat,"$10,434,782",2015
Gerald Wallace,"$10,105,855",2015
Jrue Holiday,"$9,904,495",2015
Anderson Varejao,"$9,704,545",2015
Paul Millsap,"$9,500,000",2015
Tiago Splitter,"$9,250,000",2015
Jordan Hill,"$9,000,000",2015
Mike Conley,"$8,694,216",2015
Channing Frye,"$8,579,088",2015
Ryan Anderson,"$8,491,500",2015
Omer Asik,"$8,374,646",2015
Taj Gibson,"$8,000,000",2015
Brandon Jennings,"$8,000,000",2015
George Hill,"$8,000,000",2015
Steven Adams,"$25,842,697",2020
Marc Gasol,"$25,595,700",2020
Chandler Parsons,"$25,102,511",2020
Serge Ibaka,"$23,271,604",2020
Danilo Gallinari,"$22,615,559",2020
Tim Hardaway Jr.,"$20,025,127",2020
Terry Rozier,"$19,894,737",2020
Zach LaVine,"$19,500,000",2020
Goran Dragic,"$19,217,900",2020
Evan Turner,"$18,606,556",2020
Tristan Thompson,"$18,539,130",2020
Julius Randle,"$18,000,000",2020
Gary Harris,"$17,839,286",2020
Andre Iguodala,"$17,185,185",2020
Bismack Biyombo,"$17,000,000",2020
Timofey Mozgov,"$16,720,000",2020
Ricky Rubio,"$16,200,000",2020
Brandon Knight,"$15,643,750",2020
Eric Bledsoe,"$15,625,000",2020
Ian Mahinmi,"$15,450,051",2020
Giannis Antetokounmpo,"$25,842,697",2020
Nicolas Batum,"$25,565,217",2020
Harrison Barnes,"$24,147,727",2020
Rudy Gobert,"$23,241,573",2020
Victor Oladipo,"$21,000,000",2020
Malcolm Brogdon,"$20,000,000",2020
Aaron Gordon,"$19,863,636",2020
Kent Bazemore,"$19,269,662",2020
Jeff Teague,"$19,000,000",2020
Draymond Green,"$18,539,130",2020
Allen Crabbe,"$18,500,000",2020
Myles Turner,"$18,000,000",2020
Derrick Favors,"$17,650,000",2020
Evan Fournier,"$17,150,000",2020
Bojan Bogdanovic,"$17,000,000",2020
Gorgui Dieng,"$16,229,213",2020
Jonas Valanciunas,"$16,000,000",2020
Kelly Oubre Jr.,"$15,625,000",2020
Dennis Schroder,"$15,500,000",2020
James Johnson,"$15,349,400",2020
Jimmy Butler,"$20,445,779",2019
Kyrie Irving,"$20,099,189",2019
Zach LaVine,"$19,500,000",2019
Tim Hardaway Jr.,"$19,200,127",2019
Jeff Teague,"$19,000,000",2019
Klay Thompson,"$18,988,725",2019
Goran Dragic,"$18,109,175",2019
Evan Turner,"$17,868,853",2019
Tristan Thompson,"$17,469,565",2019
Reggie Jackson,"$17,043,478",2019
Derrick Favors,"$16,900,000",2019
Gary Harris,"$16,517,857",2019
Andre Iguodala,"$16,000,000",2019
Dennis Schroder,"$15,500,000",2019
Gorgui Dieng,"$15,170,787",2019
Trevor Ariza,"$15,000,000",2019
Tobias Harris,"$14,800,000",2019
Luke Babbitt,"$14,651,700",2019
Brandon Knight,"$14,631,250",2019
Marvin Williams,"$14,087,500",2019
Ryan Anderson,"$20,421,546",2019
Jabari Parker,"$20,000,000",2019
Tyler Johnson,"$19,356,932",2019
John Wall,"$19,169,800",2019
George Hill,"$19,000,000",2019
Allen Crabbe,"$18,500,000",2019
Kent Bazemore,"$18,089,887",2019
Draymond Green,"$17,469,565",2019
Evan Fournier,"$17,150,000",2019
Bismack Biyombo,"$17,000,000",2019
Jonas Valanciunas,"$16,539,326",2019
Timofey Mozgov,"$16,000,000",2019
Ian Mahinmi,"$15,944,154",2019
DeMarre Carroll,"$15,400,000",2019
Eric Bledsoe,"$15,000,000",2019
Ricky Rubio,"$14,975,000",2019
JR Smith,"$14,720,000",2019
James Johnson,"$14,651,700",2019
Robin Lopez,"$14,357,750",2019
Taj Gibson,"$14,000,000",2019
DeMarre Carroll,"$13,600,000",2016
Al Jefferson,"$13,500,000",2016
Tony Parker,"$13,437,500",2016
Nicolas Batum,"$13,125,306",2016
Nene Hilario,"$13,000,000",2016
Robin Lopez,"$12,650,000",2016
Serge Ibaka,"$12,250,000",2016
Amir Johnson,"$12,000,000",2016
Kemba Walker,"$12,000,000",2016
Derrick Favors,"$12,000,000",2016
Stephen Curry,"$11,370,786",2016
Thaddeus Young,"$11,235,955",2016
Marcin Gortat,"$11,217,391",2016
Jrue Holiday,"$10,595,507",2016
Wilson Chandler,"$10,449,438",2016
Luol Deng,"$10,151,612",2016
DeMar DeRozan,"$10,050,000",2016
Tiago Splitter,"$9,756,250",2016
Zach Randolph,"$9,638,555",2016
Rajon Rondo,"$9,500,000",2016
Eric Bledsoe,"$13,500,000",2016
Brandon Knight,"$13,500,000",2016
Joakim Noah,"$13,400,000",2016
Tyson Chandler,"$13,000,000",2016
Ricky Rubio,"$12,700,000",2016
Rudy Gay,"$12,403,101",2016
Nikola Pekovic,"$12,100,000",2016
Kyle Lowry,"$12,000,000",2016
Al Horford,"$12,000,000",2016
Andre Iguodala,"$11,710,456",2016
Nikola Vucevic,"$11,250,000",2016
Kenneth Faried,"$11,235,955",2016
Tyreke Evans,"$10,734,586",2016
Brendan Haywood,"$10,522,500",2016
Monta Ellis,"$10,300,000",2016
Gerald Wallace,"$10,105,855",2016
Danny Green,"$10,000,000",2016
Jeff Green,"$9,650,000",2016
Mike Conley,"$9,588,426",2016
Alec Burks,"$9,463,484",2016
Bismack Biyombo,"$17,000,000",2017
Joakim Noah,"$17,000,000",2017
DeMarcus Cousins,"$16,957,900",2017
Evan Turner,"$16,393,443",2017
Timofey Mozgov,"$16,000,000",2017
Goran Dragic,"$15,891,725",2017
Pau Gasol,"$15,500,000",2017
Tristan Thompson,"$15,330,435",2017
Danilo Gallinari,"$15,050,000",2017
Reggie Jackson,"$14,956,522",2017
Jonas Valanciunas,"$14,382,023",2017
Thaddeus Young,"$14,153,652",2017
Eric Bledsoe,"$14,000,000",2017
Ricky Rubio,"$13,550,000",2017
Jamal Crawford,"$13,253,012",2017
Michael Kidd-Gilchrist,"$13,000,000",2017
Brandon Knight,"$12,606,250",2017
Miles Plumlee,"$12,500,000",2017
Arron Afflalo,"$12,500,000",2017
Eric Gordon,"$12,385,364",2017
Evan Fournier,"$17,000,000",2017
John Wall,"$16,957,900",2017
Klay Thompson,"$16,663,575",2017
Gordon Hayward,"$16,073,140",2017
Ian Mahinmi,"$15,944,154",2017
Kent Bazemore,"$15,730,338",2017
Draymond Green,"$15,330,435",2017
Khris Middleton,"$15,200,000",2017
Jeff Green,"$15,000,000",2017
Tony Parker,"$14,445,313",2017
DeMarre Carroll,"$14,200,000",2017
Manu Ginobili,"$14,000,000",2017
Rajon Rondo,"$14,000,000",2017
Rudy Gay,"$13,333,333",2017
Robin Lopez,"$13,219,250",2017
JR Smith,"$12,800,000",2017
John Henson,"$12,517,606",2017
Jordan Clarkson,"$12,500,000",2017
Tyson Chandler,"$12,415,000",2017
Serge Ibaka,"$12,250,000",2017
Brandon Jennings,"$7,655,503",2014
Taj Gibson,"$7,550,000",2014
Arron Afflalo,"$7,500,000",2014
Goran Dragic,"$7,500,000",2014
Tayshaun Prince,"$7,235,955",2014
Jose Calderon,"$6,791,570",2014
Evan Turner,"$6,679,867",2014
Carl Landry,"$6,500,000",2014
Spencer Hawes,"$6,500,000",2014
Brandon Bass,"$6,450,000",2014
Wilson Chandler,"$6,344,164",2014
Landry Fields,"$6,250,000",2014
Jason Richardson,"$6,204,250",2014
Gerald Henderson,"$6,000,000",2014
Chuck Hayes,"$5,722,500",2014
Jason Terry,"$5,625,313",2014
JR Smith,"$5,565,000",2014
Anthony Bennett,"$5,324,280",2014
Courtney Lee,"$5,225,000",2014
Zaza Pachulia,"$5,200,000",2014
John Salmons,"$7,583,000",2014
Manu Ginobili,"$7,500,000",2014
Marvin Williams,"$7,500,000",2014
John Wall,"$7,459,925",2014
Wesley Matthews,"$6,875,480",2014
Kyle Korver,"$6,760,563",2014
Kevin Martin,"$6,500,000",2014
Amir Johnson,"$6,500,000",2014
JJ Redick,"$6,500,000",2014
Channing Frye,"$6,400,000",2014
Jarrett Jack,"$6,300,000",2014
Kyle Lowry,"$6,210,000",2014
Derrick Favors,"$6,008,196",2014
Robin Lopez,"$5,904,261",2014
Jason Thompson,"$5,643,750",2014
Kyrie Irving,"$5,607,240",2014
Anthony Davis,"$5,375,760",2014
